Username (SteamID),Review
user_76561198357796079,"I defently recommend this game ecause in way its like dayz but easier to get weapons which fits the pupose of the game, tjere are clan wars and finding weapons is pretty comon so it does not matter if you die in a battle its easy to get more weapons. Now the only tjing that I dont like ia the graphics they could be improved massivaly. Bit overall for a pvp game I tjink it has the right ammumt of depth put into it."
user_76561198042823703,I really wanted to like this game. I honestly did. but it's really fucking hard to like it if every single sever disconnects me before I can even enter the damn game. I literally sat here for an hour trying to connect to multiple servers and not one would let me on. Absolutely pathetic.
user_76561198016123471,"Its honestly not that bad, Easy to get money, fun shooting, weapon customization. Even got Battle Royale. Only cons for me is that the zombies are WAY to easy"
user_76561198017162549,"Nope. 1st spawn in on beginner server: shot by a PK with an AK within two minutes. I did not get a hit on him with my flashlight. Second spawn: got dark quickly, managed to find a few abandoned cars anda few not-so-valuable items before the second zombie ate me. 

Pros: looks like a good game
Cons: It isn't."
user_76561198351011122,"T O T A L S C O R E : 4/10


First of all I would like to say that unlike the majority of the reviews I actually went very indepth into the review process of this game and heres how the punches land....

graphics: 5/10 
I can very honestly say the games gfx are very bad.

Even if you have a high end pc expect low fps / fps lag.

The real problem here is it shouldn't take up as much cpu power,  for some users streaming the game for gameplay streams is a nightmare.

Some bugs are really glitchy!! Sometimes these bugs very badly blur the screen and your ingame turns into rainbow colors or a ton of different all black shadows etc.. (I could list a few gfx bugs)

Sounds: 8/10 
The gun sounds are really spot on infact its actually fun to play this game just to fire all the different guns, 

also when you land a nasty headshot from what feels like miles away the sound makes you want to shoot in your pants =)  but some sounds sucked :\ (see below)

Soundtrack: 0/10 No effort into any sort of soundtrack what so ever these guys are only interested in a free to play with pay to play aspects of a  ZOMBIE SURIVIVAL MMO.(so they can get your money)

Gameplay: 3/10 I would recommend giving the game a try if you're new to zombie mmo's and want to try your first one or a new one if youre exp'd in the zmmo scene, 
1.join a very low populated server
2.loot and kill zombies 
3????
4profit?

My point is guys in this game there absolutely nothing exciting to do beside kill zombies hope to god you can stumble 

upon a few nice weapons / bandges/redbandges/riot shield *seebelow* just to die to a hacker and lose this fine weapon.

All the while you stupidly try to just loot and pve because im going to be very frank and a lot of hardcore fans of the game are going to hate me for it but thats just too bad because the facts are the facts and heres the list of things wrong with gameplay that as a constant player of the game you just cannot deny these things make this game not played on a major scale:
1.Cheaters ....cheaters..cheaters.. and more YOU GUESSED IT ! CHEATING
 You cannot join a single server whatever it may be PVP or PVE/P  without 50% of the servers population cheating.(which is really sad because the game has some great potential for its realistic nature). The Recoil/Spread Factor/Damage Reduction/Shot Distance All make this game Really F$$$$$$$ bad@$$. Especially since if you're an admin looking for cheaters its practically a cake walk because no one is going to land 5 headshots in a row from 200+ meters so basically you eliminate a lot of ""legit"" cheating and no so legit cheaters.(all this falls under ADMINS/AC-TEAM Needing to do a better job.

2. Group Cheaters/Single-Group Cheaters 
Group Cheaters are well exactly what it sounds like a group of 2-5*cheaters all playing together in a group this usually really only happens within the cheat community and the community members get together to cheat for fun against unsuspecting noobs. Single-Group Cheaters wouldn't be so bad if the majority of the gamebase wasn't filled with them.
Almost every single 2 man group has 1 cheater leading the *legit* player to the enemies with his *walls/radar* and them using this advantage to the fullest by making those call outs the legit player can rambo his way through you and its GG.

3. In Game Bugs/ Items/ SHIT THAT HAS TO GO....
Hackers  I know they are rampant So why does the AC/ADMIN team not get fuckin rid of them? SEE ABOVE
 
The anticheat does work but only to a certain extent i mean a handful of bans every couple of weeks isn't improving you guys.. in fact its making things worse  some of these cheaters/cheats are so simple that *I have downloaded cheats and tested them with only a few updates/tweaks.. to public source bots the cheats bypass the games AC* Now I won't go into detail but if you want to catch these cheaters stop looking for visuals give aways and start actually looking for memory hacks/etc... any cheat that has no visuals like silent aimbot/ triggerbot/ sound hacks etc.. are completely undetected by this AC and won't ever be detected because the AC team apparently doesn't care about the game im sorry if this seems like a rant but i love this game and wish the STAFF/CREATOR cared as much as i do.....
"
user_76561198129672031,Server always has crash and disconnect problem. Rent a server but can't even play more than a minute because of the disconection problem.
user_76561198215702616,"Played this a lot and here's my conclusion. Don't play it. It's shit.  You'll get into it just enough to get hooked and then it becomes garbage after 3 days , here's why.  TL;DR is at the bottom.

PVP:
--------
Played it with 3 other friends , one of them passed the 72 hour mark which means you can't access beginner servers anymore. Why is this such a problem you wonder? First of all , game devs didn't think this idea through at all,it's ridiculous . It's very stupid to assume that a player with 0 hours played and say 70 hours played should fall into the same category. You can access the official servers after 1 hour played I think. The official servers are absolute garbage. Not only are they WAY less populated than beginner servers , they game also loses its meaning. It is no longer an open world pvp. Instead , it's just a server with a chat filled with people spamming ""where's pvp?"" when it should be everywhere ,right? But half the server population camps in the pvp hotzones ( major cities ) so they would reply with ""Campos"" or any other city,  and the other half are in the remaining good farming spots , and only a handfull of people doing actual open world pvp. This made us wander around the map for HOURS before we could find even a single player!  In contrast , today I was 10 minutes in a beginner server and encountered a car , a player in one town , two players in another town , and heard gunshots in a larger town.  On official? Not a single soul.  The problem is that people get items on beginner servers so they don't even need to roam around on official , they can just go into major cities and shoot each other.


PVE:
------
Practically  non-existing.  The zombies are absolutely no challenge whatsoever. Pvp aside , they are actually just a minor nuisance in the way of your looting. The only thing even remotely challenging is the super zombie , but even he can be easily countered by just jumping on a few boxed and he can't do shit... And devs have the nerve to call the game the best Zombie MMO..

Game modes:
----------
This is one of the few redeeming qualities this game has , if offers a lot of modes to suit your gameplay and much more to come.



Game in general:
----------------
Crashes every now and then , also kicks you out of servers a lot , it's frustrating.


>>>>>>>>>TL;DR<<<<<<<<<<

Major problems:
-------------------
> What's the point of cars if I can only use it on beginner servers? I barely collect enough money to buy it.
> Snipers are way too easy to find and are superior to any weapon
> Riot shields are abused 
> Third person view gives too much advantage 
> Pvp consists of constantly jumping around , placing riot shields and quickscoping. It's awful.
> Pve is absurdly easy , not a challenge.
> Too many hackers 
> Game too unstable

CONCLUSION:  It's fun at the start , it has its good aspects but the bad parts dwarf all the good in it. It gets boring very fast + all of the above made me dislike the game a lot


FOR DEVS:
If the game devs really care about the game , they would have read this far and hear me out on what could improve the health of the game greatly. 
> Limit riot shields ( ex. 1 per person at a given time )  
> Remove some servers so people are forced to fill up the remaining ones ( Game will be richer with players )
> Make it an open world pvp again. Make a map with no major cities , no hotspots , just evenly distributed towns across the map. 
> Make beginner servers ONLY for beginners , ex. 0 - 5 hours played , after that you have official servers , this will force people to roam the map
> Make zombies more challenging , unpredictable , and a bigger threat."
user_76561198048636206,"reach beginner server time limit after 24 hrs of in game play time which was super fun. Can no longer use cars in regular servers for some reason.... ""dumb as fuck by the way"" go to regular servers. Spawn in...... die to an incredibly suspicious sniper shot. Spawn back in with more gear to get your old gear, die by another guy sniping. spawn in on a different server to avoid the 5 man team spawn sniping.......die to a random guy spawn sniping. spawn back in try to get to the airforce base to kill super zombie. Make it there.  die to sniper camping the super zombie waiting for somebody to go kill it. try to join assult rifle only server, only 2 guys on it no pvp.  finally play long enough to get an abundance of snipers then turn into the guy spawn sniping. Process repeat until uninstall. 

The game went from super fun pvp and looting to literally not being able to move because all anyone does is camp with snipers, not run around or loot, but just sit with there 5 man team on top of a bridge with 5 snipers to get a couple kills every 20 minutes. Maybe just get it because it's free and play it till you can't use beginner severs then uninstall it. I quit when they decided to make snipers even more abundant than they alredy were. which if you are reading this my story of the spawn snipers was before they added more so good luck now.

10 out of 10 will die to kids spawn sniping."
user_76561198117195938,"This game doesn't give me a chance to play it, because everybody kills the beginners. You should have a co-op mode, instead, where you play as a team. The whold buying stuff system is stupid. You should just collect it from the zombie villages. The zombie villages are too far apart, like the areas, and you have to run through the woods a lot, which takes forever. the zombies should be on the roads and stuff with cars you can drive. You can't drive the abandoned cars in the environments. You have to like buy a jeep which is probably a million whatever game credits or money or something. This game is like being among a bunch of psychopaths who just like to kill each other. That, to me is stupid. there's no doors to open and close.. it's just like... what is this? i get shot as soon as i join. sometimes i join and i'm on top of another person's head and they kill me when i don't even have any equipment, even on a beginning server. can you make it so that you can't kill other players? that would be okay. there's like no chance to even progress beyond a beginning server. this game teaches people how to kill and loot places, in disregard for their environment. what is this for?
"
user_76561198065668519,"One of the worst excuses for a ""Survival Game"" I have ever seen.

Ultra Graphics look like crap

Game has had 4 NAMES: WarZ, Infestation Survivor Stories, Romeo's Aftermath, Infestation: The New Z

Game has P2W aspects EVERYWHERE

Every server is a deathmatch with guns everywhere

You can hear VOIP from well over 500 metres as if it were right next to you

Zombie noises are sub-par

 - If you want a decent free survival game, go play Unturned over this atrocity -"
user_76561198028370849,"Oh yes, my play time should say a lot about this game.

Tried spawning in on the beginning servers... 

Instant bullet to the face.

Waiting 3 minutes of respawn timer bullshit, and tried again...

Low and behold, another instant bullet to the face.

Third time...

Insta... You know what? Screw this. 

Spawn camping on new players on starter sever, glitchy rough game, 
and all around was so bad that I could not play any longer. 

Oh and... this is basically exploits the game. The third person and some of the items are way op.

Never again."
user_76561198066728111,194 hours on New Z Good Survive Fps And Good party sistem i am Lawman i have hear and all i have fun. I play with my brothers mates. and we loot farm make skils op and practice is free to play maybe have some bugs. but its ok. Game still dewelope and always have new improwents
user_76561198077398721,"the game has really shit servers, shit devs, you get disconnected all the time the spawns are fucked, sometimes you will put 30 bullets into someones head and they dont die then turn around and put 4 into yours and you die... but overall the game fun if you can look past those things."
user_76561198356886036,"This is one of the worst games I have ever played, locks up a lot and when it does work is is extreamly slow for the low end graphics that it uses. Will not be playing this game"
user_76561198141852136,"this can suck my left testical if im willing to pay 20 fucking dollars to recieve an airdrop i should be the one getting the loot instead of some old ugly looking cunt wearing a fedora playing on a fucking mac book get to eat 15 headshots and drive away like a wee little bitch

i demand a refund"
user_76561198020763360,"This could hav potential, but.. no. Ain't a game for me.

Why? 

First of all I spawned in a server in the midde of nowhre, got an aura protected, ok, cool, I walk forward, aura wars off.. someone waiting me up (spawnkilling).. kills me.. Create new survivor or wait 2 minutes.

I created a new one and joind another beginner server, I reach a town and just find ammo, vests, helms, no wapons not even a shovl which is easy and common to find in our world. I killed ovr 50 zombies with my bare hands.. just circle around the zombie and  you don't get hit...

The sensivity is horrible, it doesn't feel smooth lik in overwatch or call of duty or an other game. 

And you can go on like this.

What I do like?
The world/map, the sound of the zombies, music, third/first person option, gathering/looting stuff,...

But the gameplay is the worst."
user_76561198080312490,"1. Spawn in, find your friends. (if you have friends special enough to play this game)

2. Walk into a small town and find enough guns to make rambo proud.

3. Now that you are set you and your friends go looking for a fight with all of your dank new gear.

4. You stumble upon a random survivor who immediately tries to end your life with his backpack full of LMG's which he got after 5 minutes of playtime.

5. You easily wipe him out with your obese amount of weaponry you found in that small town and shared bettween your friends.

6. You walk up to his corpse to loot and see a unorganized pile of glowing blue cancer covering his corpse.

7. You notice that dank weapon at the bottom of the pile and after 5 minutes of trying to get yourself in the perfect position to grab it you finally pick it up. 

8. Further down the road, you come across another town where you find a group of players looting together who outnumber your group by afew people.

9. you get the drop on them and start picking them off one by one for their dank loot.

10. After managing to overpower the group and take 80% of them out you feel proud that you have outplayed them and only have to deal with a couple more people.

11. You take a look around to make sure you are not getting flanked.

12. You see a swarm of players WHO YOU HAVE JUST KILLED THAT WAITED A 2 MINUTE TIMER TO RESPAWN 100 METRES AWAY FROM YOU AND PULLED 30 LMG'S OUT OF THIER MAGICAL STASH OF UNLIMITED WEAPON SAFTEY STORAGE AND ARE GETTING READY TO SWIFTLY CONFISCATE THE PRIVELAGE THAT IS YOUR LIFE FROM YOU! 

13. Your life is taken from you and now it's YOUR TURN to wait the 2 minute timer and come back to ambush them. SO YOU PULL 69 LMG'S OUT FROM YOUR MAGICAL STASH AND SPAWN 100 METRES AWAY FORM THEM!

14. Repeat steps 10 - 13 untill: One of you gives up, You run out of stashed LMG's, your group commits suicide, their group commits suicide or you all commit suicide.

BOTTOM LINE:
Do NOT play this game until you have nothing better to do.  But thats just my OPINION (:"
user_76561197963991937,"I'm not sure how to even put this politely to stay within the guidelines. This game is garbage. The animation is sketchy, the graphics are worse than some games from 2005, the community is completely toxic, and anyone that you encounter will kill you. The zombies are the least of your concerns in this game, because people play this game sitting and waiting for another player to pass by so that they can kill them.  It's a hot stinking, poorly optimized dumpster fire, except I wouldn't even waste my pee to put it out. 
-1000/10"
user_76561198057830627,"You know, if I wanted to play a game that I spawn in on a beginner server and get demolished by someone stacked. I would just play rust. Also, the zombie proximity range is insane. If you're within 50 feet they see you and attack you.  Hmm, sounds like a Wal-Mart version of DayZ and Rust compiled into one shitty game minus the availabilty to go into FIRST PERSON. Oh, and when you get a gun, good luck. You most likely won't have a crosshair. Oh yeah, and did I mention this is a ""Free"" game? LOL that's a joke. As soon as you load the game you're prompted with ton's of guns that you can pay for. So it's virtually a pay to win. Well, I have now finally released my anger upon this game. If you play it, good luck."
user_76561198325150680,I GOT BANNED FOR NO REASON . Left the game and then tried to reconnect. it said disconnected and it crashed. Then said . Your are banned for exploiting or cheating.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! un ban me !!!!!!!!!!!!!!!!!!!!!!! DID NOTHING!!!!!!!
user_76561198165696012,"I don't get why people hate this game.. Its actually pretty fun, and the ingame transactions are not nessecary, as you can survive perfectly fine if you are F2P. It is more of a action shooter, not a survival, as everyone you come across wants to kill you. Game is fun! Great to play with friends for a couple of free hours."
user_76561198289890973,"This game really needs a lot of work, having 5-10 machineguns spawn in a single town is really pathetic and makes PVP and killing for loot much less rewarding, gameplay is more repetitive. Zombies are too easy to kill.

EDIT:
Full to the brim with hackers, glitch/bugs, and exploiters of glitches and bugs. Game is never updated and developers are ridiculously greedy."
user_76561198039015421,i don't know what all the bad reviews are for i've killed tons of players and they killed me. tactics plays a large role in the game not how powerfull your weapon is. listen for foot steps gun shots learn to navigate the areas and you'll be find never run out in the open street. i've enjoyed this game its like arma and h1z1 mix. graphics however could use a update but the gameplay makes up for that.
user_76561198093514617,"For a start the graphics are nice and realistic-ish, smooth gamplay. pvp mostly with the shoot first not giving a fuck after atitude that most players adopt, and just a world full of loot and stuff to kill including up to 100 players perserver. 

that is untill it crashes, disconnects or just dose not load you into the game causing you to go back to the home screen, i must also admit MLG anti hack is an absolute beast, 

good game worth the FREE play!! cant be asked to buy anything coz you could get dropped from anywere and anytime, loseing your gear xD but yh i like it its fun and i jut cant grab enough loot :/ its an addiction now but i love it."
user_76561197972457549,"Spawned in, mouse DPI on lowest and ingame sensitivity all the way down and still did 8 full spins with one flick of my mouse. Took 3 steps while glowing green and got killed by someone with an M249. Figured I would respawn one more time, but upon returning to the menu there was a 2+ minute cooldown before I could respawn that could only be bypassed for real life money. Exited and uninstalled the game,"
user_76561198359444704,"I've played a few hours now and honestly, the game is pretty good! It has a few flaws and needs a couple of things but it's overall enjoyable. If you use Nvidia Experience Panel you're able to enhance the graphics and it looks great. 

Pros:
-Lots of different weapons to chose from (Melee/AssaultRifle/SubMachineGun/LightMachineGun/Grenades and more!)
-Alright commuity, avoid the ***holes that steal your cars though!
-Day/Night Cycle like skyrim
-Food/Water survival system, you must eat and drink or dieee!
-Large Supply of ammo to go with every weapon (A portion of the firearms use the same ammo)
-Oversized map to travel across with different areas to loot and explore
-Zombies aren't overly powerful and aren't able to get you if you stand on firetrucks/boxes/high places
-Overall it has great animations(realoding,running,sprinting,prone) Crouching needs a rework i'd say
-Premium skin boxes for weapons can be found throughout the game(requires purchase otherwise)
-Regular Skin can be found too, they drop a bunch of random skins
-Game is not 100% pay to win, lots of freebies!

Cons
-Doesn't have background music, or nature music to make it immersive
-Client crashes every other hour roughly for me (Max settings)
-No wildlife what so ever, no birds, beavers, bugs, nothing. It's a bit plain personally because of so
-Walking in the game is very slow, and takes forever to get from point a to point b
-Having a car is great, but if you disconnect while in it you lose it and people are able to steal it from you (Had 4 stolen)
-Must use Gas to fuel your car, and toolboxes to repair if it gets damage (By pricks)
-Fps drops every few minutes of playing *Goes from 35 to 5 back to 35 to 5*
-Prices of some of the items/gear in the shop are expensive 
-Making money isn't too fast, requires alot of killing and skin hunting
-Not much character customization or gear (Only about 10 different armors for example)

Overall, i like this game. It needs a bit of work but if you are looking for a zombie game this may be the one for you!"
user_76561198352538386,Realy fun to play like h1z1 but not paided meet new friends and made a group and did a sport of killing ppl
user_76561198214965897,"I love this game,its so much fun! I like how the noobs get killed and salty and writes a bad review. I really think that this is the best free to play game on steam. Guys dont do bad reviews its not the games fault that you suck <3"
user_76561197978203754,"There are many negative reviews for Infestation: The New Z most often with good reason but here's the thing its based on individual opinions and experiences. Starting out equipped with a flashlight and the cloths on your back it can be a hard road to survival with players lurking in every town ready to relieve you of them hard earned supplies. The new Z is a brutal world where spawn killing and ganking occur more surely than the sun rises on the morrow. Nothing says shoot me i'm the new guy like the fluorescent beacon you become when spawning in truth the game could do without this feature none the less it is not all doom and gloom. 

Being a primarily PVP orientated game Spawn times can get frustrating it pays to have a couple of characters making good use of their global inventory's which also helps with negating ganking a friend or two can't go astray. Unlike many reviews I find playing solo to be easier in some aspects as its not always the largest group who wins but the one who gets the jump first and its allot harder to spot one head bobbing through the scrub than six. The New Z is a challenging game which can be slow at times with action fuelled violence around the corner.

If you lose patience quickly, don't like a challenge or get frustrated quickly this may not be the game for you. Its worth a try especially for free when your looking for something new in-between games I give Infestation: The New Z a 3 out of 5"
user_76561198144539707,"It's so bad.
i get spawnkilled 9 times out of 10, then i have to wait 2 minutes to respawn or make a new character. I finally found some guns and my game crashes. Thanks, would definetley spend all my money on useless and worthless micro transactions.
Yet i keep coming back"
user_76561198288742066,"After a month of playing this game I can say it's a lot like another game I once played: time-consuming, annoying and just a waste of time.

Spend about a month playing on a private server to collect goodies so you have enough to play on a public server. Join a public server, get shot in the head within a few minutes, wait 3 or so minutes so you can revive your player, respawn close to where you died but your stuff is all gone, die a few minutes later, repeat until you can't take it any longer.

Final step: uninstall."
user_76561198136924954,This is an amazing game that new developers are making better. Last developers didn't help the game out and so starting from new the original game was $20 and New Z is FREE. You have no reason not to try this game out as it cannot be related to any other game. it is its own kind and it will continue to grow as we get updates rolling out all the time.
user_76561198359061614,"no support,full bug erorrs,a lot of critical errors that shut downs game in the most important pvps...sometimes when i join a server and its loading when i have entered to the game i see me already dead from others players because stucks on loading...do you wanna have gamers to this game?...so FIX IT if not then i believe that few months and the game goes down...FIX ALL THE ERROS AND BUGS!
"
user_76561198086264950,"WORST GAME EVER! Heave my warning when i tell you this is the only game where you can shoot somebody in the chest 5 times and in the head once (not killl them) while they instantly place down a 50 pound shield, swallow a medkit instantly and peak out a of a corner to kill you. All within 7 seconds. And also there will always be a crew of 7 people running around with snipers in every server who you can't kill. This game is free, but don't waste your hard drive space. Shields and snipers are the bane of this game and it's stupid. Rest In Shit Infestation."
user_76561198044502888,"I decided to give this game a try and I ended up around 20 minutes walking among trees and grass. I managed to find some building areas just to realize they were crowded with zombies. I couldn't find a weapon anywhere, only food and some armor. And the basic backpack has only a few slots, so I couldn't even pick everything. It was a dreadful and tedious experience. I spent 95% of the time sprinting trying to find a weapon or someone in a full server... I didn't die at all but definitely not the survival experience I was hoping for."
user_76561198125250037,This game is without a doubt the most dissappointing game i have ever played in my entire life. The fact that the developers of this game can confidently release such a badly developed game that disconects every second and that is so undoubtedly glitchy is absolutely appalling. none of these people deserve to call themselves game developers because what you have produced is actual living and breathing cancer. Fix the game or please quit your job.
user_76561198153184756,"I really liked this game until i started running into other players. The ""PVE"" and ""beginner"" servers are only such by name. You still take damage from other players, and just like dayz everyone opens fire on sight. I spend more time in menus, and load screens than actually playing. Good gameplay, but until they put up an actual PVE server its just frustrating."
user_76561197961967703,"So far so good. When I first started I was killed twice (very very annoying) but once I was able to hide long enough to find a gun (trailer park was a good start) I was good to go. 

Game developers, there seems to be a lack of documentation available to new players. Please address this, I could see a less experienced gamer getting discouraged very quickly..

Would love it if you could load the game and then have a period of god mode until you move, the game takes forever to load up sometimes you get bored and walk away resulting in death and time wasted..."
user_76561198185498354,"It's a shame that a game with such a cool concept gets to be one of the biggest cancers i've ever played due to the dogshit developers it unfortunately has. Pay2Win, crashing simulator, bugs after bugs. Everything bad you could think of, this game definitely has it. No wonder it went free to play, nobody would give a single coin to play this pile of shit.
 
EDIT: less than 1 minute after writing this review, i loaded the game and it crashed right on the load screen. Great game indeed."
user_76561198090255342,"Where to start, ISS was a crap game to begin with, low fps, and stability issues. this game just amplifies that. Oh but there are about 5 military grade guns in every house. so when you do log in finding weapons is a breeze. in short. to not buy this unpolished turt
"
